co2_1(45-60) co2_2(45-60) t1(45-60) h1(45-60) t2(45-60) h2(45-60) t3(45-60) h3(45-60) co2_1(30-45) co2_2(30-45) t1(30-45) h1(30-45) t2(30-45) h2(30-45) t3(30-45) h3(30-45) co2_1(15-30) co2_2(15-30) t1(15-30) h1(15-30) t2(15-30) h2(15-30) t3(15-30) h3(15-30) co2_1(0-15) co2_2(0-15) t1(0-15) h1(0-15) t2(0-15) h2(0-15) t3(0-15) h3(0-15) sco2_1(0-60) sco2_2(0-60) st1(0-60) sh1(0-60) st2(0-60) sh2(0-60) st3(0-60) sh3(0-60) sco2_1(0-45) sco2_2(0-45) st1(0-45) sh1(0-45) st2(0-45) sh2(0-45) st3(0-45) sh3(0-45) sco2_1(0-30) sco2_2(0-30) st1(0-30) sh1(0-30) st2(0-30) sh2(0-30) st3(0-30) sh3(0-30) sco2_1(0-15) sco2_2(0-15) st1(0-15) sh1(0-15) st2(0-15) sh2(0-15) st3(0-15) sh3(0-15) label
4 -12 0.1 0.0 0.0 1.0 0.2 0.0 -6 -4 0.0 0.0 0.1 0.0 0.1 1.0 -17 -5 0.0 0.0 0.1 0.0 0.2 0.0 -5 -12 0.1 1.0 0.0 0.0 0.1 0.0 -24 -33 0.0 1.0 0.0 1.0 0.6 1.0 -28 -21 0.1 1.0 0.0 0.0 0.4 1.0 -22 -17 0.1 1.0 0.1 0.0 0.3 0.0 -5 -12 0.1 1.0 0.0 0.0 0.1 0.0 1
-6 -4 0.0 0.0 0.1 0.0 0.1 1.0 -17 -5 0.0 0.0 0.1 0.0 0.2 0.0 -5 -12 0.1 1.0 0.0 0.0 0.1 0.0 -35 -5 0.0 3.0 0.0 0.0 0.1 0.0 -63 -26 0.1 2.0 0.0 0.0 0.5 1.0 -57 -22 0.1 2.0 0.1 0.0 0.4 0.0 -40 -17 0.1 2.0 0.0 0.0 0.2 0.0 -35 -5 0.0 3.0 0.0 0.0 0.1 0.0 1
-17 -5 0.0 0.0 0.1 0.0 0.2 0.0 -5 -12 0.1 1.0 0.0 0.0 0.1 0.0 -35 -5 0.0 3.0 0.0 0.0 0.1 0.0 -24 15 0.1 0.0 0.2 0.0 0.1 0.0 -81 -7 0.0 2.0 0.3 0.0 0.5 0.0 -64 -2 0.0 2.0 0.2 0.0 0.3 0.0 -59 10 0.1 3.0 0.2 0.0 0.2 0.0 -24 15 0.1 0.0 0.2 0.0 0.1 0.0 1
-5 -12 0.1 1.0 0.0 0.0 0.1 0.0 -35 -5 0.0 3.0 0.0 0.0 0.1 0.0 -24 15 0.1 0.0 0.2 0.0 0.1 0.0 -5 4 0.0 1.0 0.1 0.0 0.1 0.0 -69 2 0.0 1.0 0.1 0.0 0.4 0.0 -64 14 0.1 2.0 0.1 0.0 0.3 0.0 -29 19 0.1 1.0 0.1 0.0 0.2 0.0 -5 4 0.0 1.0 0.1 0.0 0.1 0.0 1
-35 -5 0.0 3.0 0.0 0.0 0.1 0.0 -24 15 0.1 0.0 0.2 0.0 0.1 0.0 -5 4 0.0 1.0 0.1 0.0 0.1 0.0 -36 1 0.0 1.0 0.1 0.0 0.2 0.0 -100 15 0.1 1.0 0.2 0.0 0.5 0.0 -65 20 0.1 2.0 0.2 0.0 0.4 0.0 -41 5 0.0 2.0 0.0 0.0 0.3 0.0 -36 1 0.0 1.0 0.1 0.0 0.2 0.0 1
-24 15 0.1 0.0 0.2 0.0 0.1 0.0 -5 4 0.0 1.0 0.1 0.0 0.1 0.0 -36 1 0.0 1.0 0.1 0.0 0.2 0.0 -31 -6 0.1 1.0 0.1 0.0 0.0 0.0 -96 14 0.0 1.0 0.1 0.0 0.4 0.0 -72 -1 0.1 1.0 0.1 0.0 0.3 0.0 -67 -5 0.1 0.0 0.0 0.0 0.2 0.0 -31 -6 0.1 1.0 0.1 0.0 0.0 0.0 1
-5 4 0.0 1.0 0.1 0.0 0.1 0.0 -36 1 0.0 1.0 0.1 0.0 0.2 0.0 -31 -6 0.1 1.0 0.1 0.0 0.0 0.0 -34 -12 0.0 0.0 0.0 0.0 0.1 0.0 -106 -13 0.1 1.0 0.1 0.0 0.4 0.0 -101 -17 0.1 0.0 0.0 0.0 0.3 0.0 -65 -18 0.1 1.0 0.1 0.0 0.1 0.0 -34 -12 0.0 0.0 0.0 0.0 0.1 0.0 1
-36 1 0.0 1.0 0.1 0.0 0.2 0.0 -31 -6 0.1 1.0 0.1 0.0 0.0 0.0 -34 -12 0.0 0.0 0.0 0.0 0.1 0.0 -16 0 0.0 0.0 0.0 0.0 0.1 0.0 -117 -17 0.1 0.0 0.0 0.0 0.4 0.0 -81 -18 0.1 1.0 0.1 0.0 0.2 0.0 -50 -12 0.0 0.0 0.0 0.0 0.2 0.0 -16 0 0.0 0.0 0.0 0.0 0.1 0.0 1
-15 3 0.1 0.0 0.1 0.0 0.1 0.0 -3 2 0.1 1.0 0.1 0.0 0.0 0.0 -2 -5 0.1 1.0 0.0 0.0 0.2 0.0 -8 7 0.1 1.0 0.0 0.0 0.0 0.0 -28 7 0.0 3.0 0.0 0.0 0.3 0.0 -13 4 0.1 3.0 0.1 0.0 0.2 0.0 -10 2 0.0 2.0 0.0 0.0 0.2 0.0 -8 7 0.1 1.0 0.0 0.0 0.0 0.0 0
-3 2 0.1 1.0 0.1 0.0 0.0 0.0 -2 -5 0.1 1.0 0.0 0.0 0.2 0.0 -8 7 0.1 1.0 0.0 0.0 0.0 0.0 2 -18 0.0 1.0 0.0 0.0 0.1 0.0 -11 -14 0.1 4.0 0.1 0.0 0.3 0.0 -8 -16 0.0 3.0 0.0 0.0 0.3 0.0 -6 -11 0.1 2.0 0.0 0.0 0.1 0.0 2 -18 0.0 1.0 0.0 0.0 0.1 0.0 0
-2 -5 0.1 1.0 0.0 0.0 0.2 0.0 -8 7 0.1 1.0 0.0 0.0 0.0 0.0 2 -18 0.0 1.0 0.0 0.0 0.1 0.0 3 -3 0.0 1.0 0.0 0.0 0.0 1.0 -5 -19 0.0 4.0 0.0 0.0 0.3 1.0 -3 -14 0.1 3.0 0.0 0.0 0.1 1.0 5 -21 0.0 2.0 0.0 0.0 0.1 1.0 3 -3 0.0 1.0 0.0 0.0 0.0 1.0 0
-8 7 0.1 1.0 0.0 0.0 0.0 0.0 2 -18 0.0 1.0 0.0 0.0 0.1 0.0 3 -3 0.0 1.0 0.0 0.0 0.0 1.0 3 -5 0.0 0.0 0.0 0.0 0.2 0.0 0 -19 0.1 3.0 0.0 0.0 0.3 1.0 8 -26 0.0 2.0 0.0 0.0 0.3 1.0 6 -8 0.0 1.0 0.0 0.0 0.2 1.0 3 -5 0.0 0.0 0.0 0.0 0.2 0.0 0
2 -18 0.0 1.0 0.0 0.0 0.1 0.0 3 -3 0.0 1.0 0.0 0.0 0.0 1.0 3 -5 0.0 0.0 0.0 0.0 0.2 0.0 2 -4 0.0 1.0 0.0 1.0 0.1 0.0 10 -30 0.0 3.0 0.0 1.0 0.2 1.0 8 -12 0.0 2.0 0.0 1.0 0.1 1.0 5 -9 0.0 1.0 0.0 1.0 0.1 0.0 2 -4 0.0 1.0 0.0 1.0 0.1 0.0 0
3 -3 0.0 1.0 0.0 0.0 0.0 1.0 3 -5 0.0 0.0 0.0 0.0 0.2 0.0 2 -4 0.0 1.0 0.0 1.0 0.1 0.0 -3 -9 0.0 1.0 0.0 0.0 0.1 1.0 5 -21 0.0 1.0 0.0 1.0 0.2 0.0 2 -18 0.0 0.0 0.0 1.0 0.2 1.0 -1 -13 0.0 0.0 0.0 1.0 0.0 1.0 -3 -9 0.0 1.0 0.0 0.0 0.1 1.0 0
3 -5 0.0 0.0 0.0 0.0 0.2 0.0 2 -4 0.0 1.0 0.0 1.0 0.1 0.0 -3 -9 0.0 1.0 0.0 0.0 0.1 1.0 -1 3 0.0 1.0 0.0 0.0 0.0 0.0 1 -15 0.0 1.0 0.0 1.0 0.2 1.0 -2 -10 0.0 1.0 0.0 1.0 0.0 1.0 -4 -6 0.0 2.0 0.0 0.0 0.1 1.0 -1 3 0.0 1.0 0.0 0.0 0.0 0.0 0
2 -4 0.0 1.0 0.0 1.0 0.1 0.0 -3 -9 0.0 1.0 0.0 0.0 0.1 1.0 -1 3 0.0 1.0 0.0 0.0 0.0 0.0 0 -16 0.0 0.0 0.2 0.0 0.1 1.0 -2 -26 0.0 1.0 0.2 1.0 0.1 0.0 -4 -22 0.0 2.0 0.2 0.0 0.2 0.0 -1 -13 0.0 1.0 0.2 0.0 0.1 1.0 0 -16 0.0 0.0 0.2 0.0 0.1 1.0 0
-4 6 0.1 1.0 0.1 0.0 0.0 0.0 2 -6 0.1 0.0 0.0 0.0 0.1 0.0 8 -8 0.0 0.0 0.0 0.0 0.0 0.0 -1 2 0.0 0.0 0.1 0.0 0.0 0.0 5 -6 0.2 1.0 0.2 0.0 0.1 0.0 9 -12 0.1 0.0 0.1 0.0 0.1 0.0 7 -6 0.0 0.0 0.1 0.0 0.0 0.0 -1 2 0.0 0.0 0.1 0.0 0.0 0.0 1
2 -6 0.1 0.0 0.0 0.0 0.1 0.0 8 -8 0.0 0.0 0.0 0.0 0.0 0.0 -1 2 0.0 0.0 0.1 0.0 0.0 0.0 0 -9 0.0 0.0 0.1 0.0 0.1 1.0 9 -21 0.1 0.0 0.0 0.0 0.2 1.0 7 -15 0.0 0.0 0.0 0.0 0.1 1.0 -1 -7 0.0 0.0 0.0 0.0 0.1 1.0 0 -9 0.0 0.0 0.1 0.0 0.1 1.0 1
8 -8 0.0 0.0 0.0 0.0 0.0 0.0 -1 2 0.0 0.0 0.1 0.0 0.0 0.0 0 -9 0.0 0.0 0.1 0.0 0.1 1.0 0 2 0.0 0.0 0.1 0.0 0.1 1.0 7 -13 0.0 0.0 0.1 0.0 0.0 0.0 -1 -5 0.0 0.0 0.1 0.0 0.0 0.0 0 -7 0.0 0.0 0.0 0.0 0.0 0.0 0 2 0.0 0.0 0.1 0.0 0.1 1.0 1
-1 2 0.0 0.0 0.1 0.0 0.0 0.0 0 -9 0.0 0.0 0.1 0.0 0.1 1.0 0 2 0.0 0.0 0.1 0.0 0.1 1.0 0 -47 0.0 0.0 0.1 3.0 0.1 1.0 -1 -52 0.0 0.0 0.2 3.0 0.1 1.0 0 -54 0.0 0.0 0.1 3.0 0.1 1.0 0 -45 0.0 0.0 0.2 3.0 0.0 0.0 0 -47 0.0 0.0 0.1 3.0 0.1 1.0 1
0 -9 0.0 0.0 0.1 0.0 0.1 1.0 0 2 0.0 0.0 0.1 0.0 0.1 1.0 0 -47 0.0 0.0 0.1 3.0 0.1 1.0 0 -37 0.0 0.0 0.1 2.0 0.0 1.0 0 -91 0.0 0.0 0.2 1.0 0.1 0.0 0 -82 0.0 0.0 0.3 1.0 0.0 1.0 0 -84 0.0 0.0 0.2 1.0 0.1 0.0 0 -37 0.0 0.0 0.1 2.0 0.0 1.0 1
0 2 0.0 0.0 0.1 0.0 0.1 1.0 0 -47 0.0 0.0 0.1 3.0 0.1 1.0 0 -37 0.0 0.0 0.1 2.0 0.0 1.0 7 -16 0.0 0.0 0.0 1.0 0.0 2.0 7 -98 0.0 0.0 0.3 2.0 0.0 1.0 7 -100 0.0 0.0 0.2 2.0 0.1 2.0 7 -53 0.0 0.0 0.1 1.0 0.0 1.0 7 -16 0.0 0.0 0.0 1.0 0.0 2.0 1
0 -47 0.0 0.0 0.1 3.0 0.1 1.0 0 -37 0.0 0.0 0.1 2.0 0.0 1.0 7 -16 0.0 0.0 0.0 1.0 0.0 2.0 -9 -5 0.1 1.0 0.0 2.0 0.0 1.0 -2 -105 0.1 1.0 0.2 0.0 0.1 1.0 -2 -58 0.1 1.0 0.1 3.0 0.0 0.0 -2 -21 0.1 1.0 0.0 1.0 0.0 1.0 -9 -5 0.1 1.0 0.0 2.0 0.0 1.0 1
0 -37 0.0 0.0 0.1 2.0 0.0 1.0 7 -16 0.0 0.0 0.0 1.0 0.0 2.0 -9 -5 0.1 1.0 0.0 2.0 0.0 1.0 -11 18 0.1 0.0 0.1 1.0 0.0 2.0 -13 -40 0.0 1.0 0.2 4.0 0.0 2.0 -13 -3 0.0 1.0 0.1 2.0 0.0 1.0 -20 13 0.0 1.0 0.1 3.0 0.0 3.0 -11 18 0.1 0.0 0.1 1.0 0.0 2.0 1
